Job,ENG,SerialNumber,Part,Product,Model Group,Elastomer,Model,Job Comment,Location,Last Labor,StartDate,DueDate,AdhesiveDry,Firm,Scheduled,Ship By,Promise,Day,Week,Expedite,Ship Hold,Prod Hold,Group,Order,L/R,Name,Complete,Risk,StalledDays
129301,FALSE,EOGPS661B1D58422,S700584HS0-RELINEERCBOD,S700584HS0,S700,HS,7005840,"
**Use sk21345 or sk21251***",Bartels Rack,8/15/2023 7:03 AM,8/11/2023 8:58 AM,8/25/2023,8/15/2023 7:03 PM,TRUE,FALSE,8/25/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55792,1/7,EOG Resources Inc.,FALSE,TRUE,6
129421,FALSE,ST9000289-PTS,S875840HS0-RELINEPHCBOU,S875840HS0,S875,HS,8758400,"
REBLAST  08/18",QC-VIS,,8/15/2023 2:54 PM,8/29/2023,,TRUE,FALSE,8/29/2023,8/25/2023,6,34,TRUE,FALSE,FALSE,RELINES,55811,10/2,Phoenix Technology Services USA Inc. (TX),FALSE,TRUE,
129374,FALSE,ST5251183-PTS,S500770F30-RELINEPHCBUO,S500770F30,S500,F3,5007700,,Bartels Rack,8/16/2023 8:45 PM,8/14/2023 11:56 AM,8/28/2023,8/17/2023 8:45 AM,TRUE,TRUE,8/28/2023,8/28/2023,2,35,FALSE,FALSE,FALSE,RELINES,55802,6/3,PV Fluid Products Ltd,FALSE,FALSE,5
129372,FALSE,ST5251065-PTS,S500770F30-RELINEPHCBUO,S500770F30,S500,F3,5007700,,Bartels Rack,8/16/2023 10:46 PM,8/14/2023 11:56 AM,8/25/2023,8/17/2023 10:46 AM,TRUE,TRUE,8/25/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55802,6/1,PV Fluid Products Ltd,FALSE,FALSE,5
129371,FALSE,ST5500761-PTS,S500770F30-RELINEPHCBOU,S500770F30,S500,F3,5007700,,Bartels Rack,8/17/2023 12:30 AM,8/14/2023 11:55 AM,8/25/2023,8/17/2023 12:30 PM,TRUE,TRUE,8/25/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55802,5/5,PV Fluid Products Ltd,FALSE,FALSE,4
129533,FALSE,7005684-152,S700584F30-RELINEKXCB,S700584F30,S700,F3,7005840,"
",QC-IN,,8/17/2023 9:03 AM,8/28/2023,,TRUE,FALSE,8/28/2023,8/28/2023,2,35,FALSE,FALSE,FALSE,RELINES,55816,1/1,"KLX Directional Drilling, LLC",FALSE,FALSE,
129761,FALSE,L158250,S700769HS0-TDCB,S700769HS0,S700,HS,7007690,,T-CLEAN,,8/17/2023 12:05 PM,9/4/2023,,TRUE,FALSE,9/4/2023,9/8/2023,6,36,FALSE,FALSE,FALSE,STATORS,55837,2/1,"Turbo Drill Industries, Inc. (taxable)",FALSE,FALSE,
129762,FALSE,L158251,S700769HS0-TDCB,S700769HS0,S700,HS,7007690,,T-CLEAN,,8/17/2023 12:05 PM,9/4/2023,,TRUE,FALSE,9/4/2023,9/11/2023,2,37,FALSE,FALSE,FALSE,STATORS,55837,2/2,"Turbo Drill Industries, Inc. (taxable)",FALSE,FALSE,
129763,FALSE,L158252,S700769HS0-TDCB,S700769HS0,S700,HS,7007690,,T-CLEAN,,8/17/2023 12:05 PM,9/4/2023,,TRUE,FALSE,9/4/2023,9/12/2023,3,37,FALSE,FALSE,FALSE,STATORS,55837,2/3,"Turbo Drill Industries, Inc. (taxable)",FALSE,FALSE,
129764,FALSE,L158253,S700769HS0-TDCB,S700769HS0,S700,HS,7007690,,T-CLEAN,,8/17/2023 12:05 PM,9/4/2023,,TRUE,FALSE,9/4/2023,9/22/2023,6,38,FALSE,FALSE,FALSE,STATORS,55837,2/4,"Turbo Drill Industries, Inc. (taxable)",FALSE,FALSE,
129765,FALSE,L158254,S700769HS0-TDCB,S700769HS0,S700,HS,7007690,,T-CLEAN,,8/17/2023 12:05 PM,9/4/2023,,TRUE,FALSE,9/4/2023,9/25/2023,2,39,FALSE,FALSE,FALSE,STATORS,55837,2/5,"Turbo Drill Industries, Inc. (taxable)",FALSE,FALSE,
129060,FALSE,ST5251010-PTS,S500770F30-RELINEPHCBUO,S500770F30,S500,F3,5007700,"
STRAIGHTENING  08/10",Bartels Rack,8/17/2023 2:03 PM,8/7/2023 1:51 PM,8/25/2023,8/18/2023 2:03 AM,TRUE,TRUE,8/25/2023,8/28/2023,2,35,TRUE,FALSE,FALSE,RELINES,55763,6/1,PV Fluid Products Ltd,FALSE,FALSE,4
129057,FALSE,ST5500783-PTS,S500770F30-RELINEPHCBOU,S500770F30,S500,F3,5007700,"
STRAIGHTENING  08/11",Bartels Rack,8/17/2023 2:39 PM,8/7/2023 1:47 PM,8/25/2023,8/18/2023 2:39 AM,TRUE,TRUE,8/25/2023,8/28/2023,2,35,TRUE,FALSE,FALSE,RELINES,55763,5/9,PV Fluid Products Ltd,FALSE,FALSE,4
129063,FALSE,ST5251145-PTS,S500770F30-RELINEPHCBUO,S500770F30,S500,F3,5007700,"
STRAIGHTENING  08/11",Bartels Rack,8/17/2023 3:15 PM,8/7/2023 1:51 PM,8/28/2023,8/18/2023 3:15 AM,TRUE,TRUE,8/28/2023,8/28/2023,2,35,TRUE,FALSE,FALSE,RELINES,55763,6/4,PV Fluid Products Ltd,FALSE,FALSE,4
129415,FALSE,L158246,S500770F30,S500770F30,S500,F3,5007700,"
AEP-57870-S571",Bartels Rack,8/17/2023 5:19 PM,8/14/2023 8:46 AM,8/24/2023,8/18/2023 5:19 AM,TRUE,FALSE,8/24/2023,9/1/2023,6,35,FALSE,FALSE,FALSE,STATORS,55801,2/2,Altitude Energy Partners - Consolidated Acct,FALSE,FALSE,4
129414,FALSE,L158245,S500770F30,S500770F30,S500,F3,5007700,"
AEP-57870-S570",Bartels Rack,8/17/2023 5:55 PM,8/14/2023 8:46 AM,8/24/2023,8/18/2023 5:55 AM,TRUE,FALSE,8/24/2023,9/1/2023,6,35,FALSE,FALSE,FALSE,STATORS,55801,2/1,Altitude Energy Partners - Consolidated Acct,FALSE,FALSE,4
129205,FALSE,ST5500732-PTS,S500688HS0-RELINEPHCBOU,S500688HS0,S500,HS,5006880,"
STRAIGHTENING  08/12",Bartels Rack,8/17/2023 11:01 PM,8/8/2023 2:15 PM,8/30/2023,8/18/2023 11:01 AM,TRUE,FALSE,8/30/2023,8/30/2023,4,35,TRUE,FALSE,FALSE,RELINES,55773,10/4,Phoenix Technology Services USA Inc. (TX),FALSE,FALSE,4
129416,FALSE,L158247,S500770F30,S500770F30,S500,F3,5007700,"
AEP-57870-S572",Bartels Rack,8/17/2023 11:37 PM,8/14/2023 8:46 AM,8/24/2023,8/18/2023 11:37 AM,TRUE,FALSE,8/24/2023,9/8/2023,6,36,FALSE,FALSE,FALSE,STATORS,55801,2/3,Altitude Energy Partners - Consolidated Acct,FALSE,FALSE,4
129418,FALSE,L158249,S500770F30,S500770F30,S500,F3,5007700,"
AEP-57870-S574",Bartels Rack,8/18/2023 8:25 AM,8/14/2023 8:46 AM,8/24/2023,8/18/2023 8:25 PM,TRUE,FALSE,8/24/2023,9/8/2023,6,36,FALSE,FALSE,FALSE,STATORS,55801,2/5,Altitude Energy Partners - Consolidated Acct,FALSE,FALSE,3
129417,FALSE,L158248,S500770F30,S500770F30,S500,F3,5007700,"
AEP-57870-S573",Bartels Rack,8/18/2023 9:10 AM,8/14/2023 8:46 AM,8/24/2023,8/18/2023 9:10 PM,TRUE,FALSE,8/24/2023,9/8/2023,6,36,FALSE,FALSE,FALSE,STATORS,55801,2/4,Altitude Energy Partners - Consolidated Acct,FALSE,FALSE,3
129423,FALSE,ST9000206-PTS,S875840HS0-RELINEPHCBOU,S875840HS0,S875,HS,8758400,,Bartels Rack,8/18/2023 9:43 AM,8/15/2023 2:54 PM,8/28/2023,8/18/2023 9:43 PM,TRUE,TRUE,8/28/2023,8/28/2023,2,35,FALSE,FALSE,FALSE,RELINES,55811,10/4,Phoenix Technology Services USA Inc. (TX),FALSE,FALSE,3
129467,FALSE,7005684-072,S700584F30-RELINEKXCB,S700584F30,S700,F3,7005840,"
",Bartels Rack,8/18/2023 11:24 AM,8/15/2023 4:00 PM,8/28/2023,8/18/2023 11:24 PM,TRUE,TRUE,8/28/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55813,1/1,"KLX Directional Drilling, LLC",FALSE,FALSE,3
129606,FALSE,EOGPS9080877024,S875770HS2-RELINEERCBOU,S875770HS2,S875,HS,8757702,"
",QC-IN,,8/18/2023 11:58 AM,8/30/2023,,TRUE,FALSE,8/30/2023,8/29/2023,3,35,FALSE,FALSE,FALSE,RELINES,55842,2/2,EOG Resources Inc.,FALSE,FALSE,
